ID,Last,First,Age,Gender,Household.Size,Household.Income,Scale,Education.Level,Zip.Code,Interests,Hobbies,Region,Likert,Likert1,Profession,Content.Pre.code,Verbatim.Comments,Purchase.Behavior,Cources,point.latitude,point.longitude
10066,DAVIS,KENNETH,58,Female,5,4,9,3,77016,17,1,Australia,10,8,Student,4,"BXKY CXLS EQAP DZNS NRIM TCKJ THDU VPFU",5,Science,30.5611,81.7453
10016,MARTIN,KENNETH,39,Male,5,3,8,2,60089,17,15,Asia,8,6,Student,14,"CABZ HSKA BMEV YQFI DTUD AHKH ZNGM ALQZ",2,English,30.1137,81.7174
10213,DAVIS,MARGARET,52,Male,4,1,10,4,60409,14,1,America,9,1,Engineer,9,"CFRX OPUY GFYJ WWOA QZGM HLAU SEKY JVYD",3,Science,30.6667,81.7106
10083,LEWIS,MARGARET,25,Male,1,2,8,4,33880,6,2,Australia,4,10,Engineer,16,"CKAU SVOL RZQV SASU VHRN WWXW DFLS DOFY",2,Statistics,30.174,81.7119
10027,ALLEN,LINDA,36,Male,1,1,7,4,2186,16,7,Australia,3,2,Teacher,9,"CQSL RSWZ EOQA HYRB AIQJ JQJI JXKN DNOJ",3,Statistics,30.0685,81.7119
10218,ANDERSON,BETTY,45,Female,4,1,3,3,33428,5,1,America,4,7,Engineer,5,"CSSO MPGB QBZM THAJ YJHY QQUL RQQF CVNG",2,Math,30.6637,81.7132
10042,PEREZ,CAROL,41,Male,3,1,7,2,32003,11,14,Africa,5,5,Teacher,3,"CTPE NRDJ OVDT ACRJ FPSQ JMAF GRLR QZZQ",3,Geography,29.9626,81.7275
10110,WILLIAMS,KIMBERLY,27,Male,4,4,10,3,60411,2,3,Africa,6,2,"Business Man",9,"CVCH VNPA RNWN NITL YVCF RKEO WAUN KEEB",3,Politics,30.1859,81.7057
10228,CLARK,KIMBERLY,35,Male,1,3,5,3,2125,7,3,Europe,2,6,Engineer,5,"CYGN WQDQ VBOU JPQE SSSM IDWV QLDO AYTL",3,Computer,30.6667,81.7162
10232,WALKER,ROBERT,25,Male,4,4,4,2,85203,12,2,Asia,10,8,Teacher,8,"DDUB ECEF PQUI BWRD EMDH LUOW WOCB JWPZ",1,Math,30.6584,81.7162
10068,WILSON,EDWARD,50,Male,4,4,10,3,45011,1,14,Europe,6,7,Engineer,5,"DEHK KJFG XYQB ZBZZ ZYIF YBEE LBIY GRXZ",2,Politics,30.5611,81.7162
10050,COLLINS,MARY,56,Male,4,2,9,3,2474,16,12,Asia,10,5,"Business Man",13,"DMPH CYNL YOJX RWTN BTGY OHRI XACE BBYB",4,Math,29.9634,81.7162
10079,MARTINEZ,ELIZABETH,56,Female,2,3,9,4,2453,8,10,Asia,10,9,Writer,10,"DQWO IZNY QQSS CBKU UIOW JVLX UDTW ZCPD",5,English,30.1018,81.7162
10032,LOPEZ,SUSAN,56,Male,1,1,4,2,52804,20,8,Australia,6,4,Teacher,12,"DRBV IZUW YIOF JRMK LUPB GQRL UPVU JWQU",5,Computer,30.0798,81.7069
10088,YOUNG,BETTY,31,Female,1,2,8,4,22191,12,10,Africa,3,3,Engineer,3,"DRJI FCYR SPWE ZHPB ZSHP CATM TMUB LIUS",4,Computer,30.1627,81.7185
10188,WRIGHT,JOSEPH,38,Male,5,4,8,3,44691,6,7,Asia,1,1,Engineer,8,"DVFE PGEQ PTJE KMHY PPPI PBUP AQNL CDSQ",1,Statistics,30.5708,81.7185
10020,ROBINSON,RONALD,29,Female,2,3,9,3,59715,3,8,Africa,5,9,"Business Man",10,"DVNL YSBO UPDZ IQQH BLRS NXMU TZDP ORGI",4,Statistics,30.0658,82.9267
10216,MOORE,NANCY,38,Male,4,1,10,1,21921,13,7,Europe,1,2,Student,11,"DXIM ILKW RTJW EKLX YPJE EJAF KARE RUDS",6,Statistics,30.6172,82.9267
10227,ROBINSON,SARAH,42,Male,4,2,4,2,19464,11,13,Asia,4,10,Teacher,2,"ECLB MYDQ VXDB RGQZ QHDK BIAN WWQM MCSC",2,Science,30.6386,82.9267
10138,WRIGHT,PATRICIA,23,Male,2,3,1,1,20782,8,1,Europe,6,3,Engineer,7,"EDPI OZPB VBHK EYEI WOCK NVIH DGNU CIHA",5,Politics,29.7255,82.9262
10149,PEREZ,KAREN,46,Male,3,3,2,2,37421,1,6,Africa,8,10,Writer,16,"EJGY XUUK QCTG CHZQ OPHL DJQC AXGK EVKN",5,English,29.7255,82.9262
10176,MARTINEZ,LAURA,59,Male,4,3,2,4,50010,20,12,Asia,6,8,Student,16,"EKKT MVXO BGFF XBIP KGOU AVEI KYTX SSSO",1,Math,30.5708,82.9262
10096,ADAMS,LAURA,50,Male,2,4,2,4,11378,20,2,Asia,7,3,Student,13,"EKYI HJNQ ESZP UILD CCGA OQDS SQSL ONWW",4,Politics,30.1515,82.9262
10011,ANDERSON,DANIEL,40,Male,3,1,8,3,30518,17,11,Asia,10,6,Student,8,"EKYM GUKB EJLV TTEW YOFB NBJN KAOK NSQM",2,Computer,30.1022,2.9262
10063,EDWARDS,MARK,22,Female,1,5,6,3,48601,13,6,Europe,5,4,Engineer,5,"EKYR CEFE VZNL JDDX FDRG XHJG IIXJ NHKL",3,Geography,30.5627,82.9262
10220,JACKSON,SANDRA,35,Male,4,1,10,3,17036,1,13,Asia,8,6,"Business Man",7,"ERFM UHWJ NCBJ PZFX ASDV KJHP DBGW RRER",2,Science,30.6195,82.9262
10054,PARKER,WILLIAM,35,Female,2,2,8,3,11368,5,8,Africa,8,6,Writer,11,"ERFR CGJT NVAF YLJR JVVR NOTW ALXK WHHQ",4,Politics,29.9594,82.9254
10038,GONZALEZ,BETTY,23,Male,2,1,5,1,30815,18,12,America,4,8,Engineer,7,"ETXP GFYN PNWF MHSZ RBBF PWTZ VXXF PVAF",5,Science,29.9626,82.9254
10235,YOUNG,DAVID,43,Female,1,4,5,2,32578,12,7,America,6,2,"Business Man",10,"EUMF MTSP NUSP YNXK ZABS WCJM MUJU XRYP",3,Computer,29.925,82.9168
10031,WRIGHT,MARIA,47,Male,5,4,1,4,11590,4,2,America,3,3,Student,13,"EYSJ VUKT FTCV UPIQ WVQD ZRPD CYTU DCOK",4,Science,30.0685,82.9168
10135,YOUNG,JASON,33,Female,3,2,2,2,27530,3,13,Asia,9,7,"Business Man",13,"FBMJ FPAZ HGEG JWIV OSEW URGR DVML EYJK",2,English,29.7766,82.9168
10029,HERNANDEZ,ELIZABETH,23,Male,5,2,4,1,48348,19,7,Europe,10,9,Writer,7,"FGKD CSDQ XXQJ YLEC LOHY CCMO AEQY CWIV",3,Math,30.0685,82.9168
10214,MILLER,DOROTHY,57,Female,3,1,6,3,44312,11,6,Australia,1,6,Writer,16,"FHCH WWJM WJDZ NPJG GSAN PQFI AXEX KEMY",1,Computer,30.6577,82.9168
10123,MARTIN,DANIEL,45,Female,3,3,9,2,55068,3,4,America,8,9,Engineer,15,"FJBG KQBZ PTIK YXAU YBBW TMEC DTUL XZPF",2,Computer,30.1747,82.9239
10136,HERNANDEZ,MATTHEW,51,Male,5,2,5,2,8701,15,8,Europe,3,2,Student,13,"FJZX KVNO XJZT MPKI LCWB UHTB JCJW XAPB",3,Science,29.7766,82.9277
10046,CAMPBELL,LAURA,57,Female,3,3,10,4,6776,6,9,Europe,1,1,Student,9,"FLTC EZVQ ZXTW ESRI IBGZ YKHL ZYZP CBXJ",2,Computer,29.9607,82.9276
10100,CARTER,MARY,36,Male,2,5,1,2,11368,20,7,Australia,1,1,"Business Man",15,"FNJX TGJR HYBI ZSDH KMQZ KFSZ GIJA FELV",1,English,30.1515,82.9227
10150,ROBERTS,BETTY,24,Female,4,5,1,2,49418,3,6,America,7,9,"Business Man",13,"FOZU FHLO ATPX ISBL DWRX TDQT SJRW EOMX",5,Science,30.5733,82.9224
10076,MARTIN,PATRICIA,22,Male,5,4,7,1,8330,11,10,Africa,6,7,Student,11,"FPKJ VKPE HWHH MQOQ PHLB HHFU UBYW LYKP",5,Statistics,30.5552,82.9338
10190,HILL,CHRISTOPHER,63,Female,4,1,4,3,28052,16,9,Africa,6,10,"Business Man",14,"FRWO IMAQ UAEF BZEF YPXZ WFBU TJCJ FSBA",6,Math,30.5713,82.9338
10180,LEWIS,MARY,47,Female,2,1,8,4,45385,2,13,Australia,8,10,"Business Man",10,"FURF IQHW ORLY XSBW PNEI MZWB XWTK JRTI",3,Politics,30.5708,82.9338
10195,GONZALEZ,GEORGE,35,Female,4,3,6,1,1089,17,13,Africa,1,9,"Business Man",16,"FVXF PZVJ QDQY VBAU DGVN AOJS CERU ENLV",2,Statistics,30.5718,82.9236
10030,KING,JENNIFER,64,Male,3,5,5,2,33594,12,7,Africa,5,7,"Business Man",15,"GCVH DOYF DYJT OHZW IDPY MVHN XBXO SZBC",3,English,30.0685,81.934
10108,SMITH,LAURA,34,Male,1,2,9,2,44870,8,7,Asia,7,9,Engineer,7,"GKNB OFGL PAKT ERCY TJWH ACOV NYYC UXFW",2,Science,30.1515,81.8304
10198,MITCHELL,EDWARD,38,Male,4,5,8,1,11801,5,8,Asia,9,1,Engineer,13,"GKZH KCMV JOOM TFPY KCIU WFUL CRBV WXWC",6,English,30.5709,81.8304
10008,WILSON,JOSEPH,21,Male,3,4,1,4,7093,6,5,Africa,4,8,Engineer,10,"GPQG ZCFI MLNV ZCGL MEVI BCMQ NNKA SEHQ",6,Math,30.1022,81.8302
10052,PHILLIPS,ROBERT,30,Male,3,4,2,3,91768,10,6,Asia,5,9,Teacher,2,"GQQZ REVP TAUB DTKK NLXM IHLO LJXG QXKY",3,Science,29.9584,81.8304
10055,EVANS,DAVID,32,Female,1,2,8,1,55316,3,1,America,2,8,"Business Man",7,"GSOQ RFXS FEZS DOOK ISXI XDGE HRXJ AVQH",3,Statistics,29.9589,81.8263
10093,HILL,RUTH,52,Male,5,2,3,3,55316,5,12,Africa,5,10,Engineer,12,"GXSZ ULCF PCRM QOCN BBUR NFBU UJIE OIXX",5,English,30.1636,81.8249
10040,CARTER,SANDRA,63,Male,5,1,7,1,48067,16,14,Asia,7,5,"Business Man",1,"HARG FCVV RFCR DJBZ COAO FZGS GCLS CLDS",3,Politics,29.9626,81.8263
10114,MILLER,ROBERT,54,Female,1,3,1,4,7302,2,4,Europe,5,10,Writer,7,"HBQS LRBS VSET AFIP PNPC SQSN RBMZ ZPGD",5,English,30.0078,81.8263
10219,THOMAS,HELEN,31,Male,4,2,1,2,22041,15,11,Australia,9,2,Writer,4,"HIXH QDON OBUV IRMA GQXU XYFZ IPPB TMXP",2,English,30.6702,81.8238
10142,GREEN,JENNIFER,27,Male,2,2,5,4,3054,10,14,Asia,1,9,Teacher,1,"HKAG PGRZ RBDT RJMQ YYOI MIYG SBQN JIJQ",5,English,29.7255,81.8265
10237,KING,CHARLES,46,Female,2,3,3,1,85203,2,12,Asia,4,1,Teacher,3,"HLBM MSLF SFZR TLBB THLX YLLO BZGW KOPG",3,Statistics,29.9033,81.8266
10160,WILLIAMS,KIMBERLY,36,Female,2,4,5,3,8088,16,9,Europe,2,8,"Business Man",11,"HNQM JTFO UNNQ YBVW BDLQ THTG LHPO WGSA",4,Statistics,30.6202,81.8364
10024,LEE,MATTHEW,55,Female,5,2,5,2,7024,16,14,Europe,4,9,Writer,2,"HQQG NDNS PXAH UBCW MXQY WMYZ JTQP KMGX",1,Science,30.0958,81.8197
10115,WILSON,MICHAEL,26,Female,2,5,1,4,54956,11,15,Africa,9,8,"Business Man",11,"HQWM DBKD TAGU HNWM MHLV YPNT TKNP EELH",5,Science,30.1751,81.775
10204,PARKER,MATTHEW,53,Female,5,3,2,1,46077,17,7,Europe,10,6,Writer,6,"HUNP FLKD VHSJ CLZV JFCS TNWC HEIF AKNE",4,Math,30.6512,81.8257
10057,COLLINS,CHARLES,51,Female,1,2,7,3,37918,1,6,Asia,10,9,Teacher,12,"HWPG DUTX LWZT XMPU KIWM FRAW TMSE QONI",4,Math,29.9658,82.6623
10012,THOMAS,PAUL,23,Female,5,2,2,1,7060,17,10,Europe,7,6,Teacher,5,"ICXR UVHE NNMC QRDX EHQN OSXG OVHE OXTG",1,Politics,30.096,82.7094
10107,PARKER,MICHELLE,43,Female,2,5,1,3,81001,1,1,Australia,10,3,Teacher,5,"IDMN YAHT VRHG YKZN IPGS YANX YJSK UBCN",2,English,30.1515,82.7094
10143,ADAMS,MARIA,39,Male,4,1,4,1,29710,7,12,Europe,4,3,Engineer,1,"IFUM OUDT RBKZ XWGR SQMN EAWW KJBC DFJO",5,Science,29.7255,82.7094
10039,NELSON,HELEN,44,Male,1,4,10,3,20747,5,9,Australia,1,3,Writer,3,"IFYS WMFU SDMP FUFN DVSW EYXZ LQKY QOYO",4,Computer,29.9626,82.734
10118,ANDERSON,RICHARD,33,Male,2,5,6,4,8105,10,10,Asia,2,1,Engineer,3,"IIGB MZRW KLBY SQCK HTRK RJVN XTJU HGHX",5,Statistics,30.1748,82.7094
10161,JONES,DEBORAH,36,Female,3,2,6,2,35209,7,7,Africa,4,7,Student,12,"IIHZ NRUY DIRU JMXK NSJP FTUD JIJX PDYU",4,Geography,30.5768,82.5702
10075,HARRIS,MARY,28,Male,3,5,10,3,33125,13,3,Europe,1,4,"Business Man",10,"IJOX ZHWJ LPKP NRUH EVXX KYBA GSKK CWHN",1,Politics,30.5367,82.6126
10021,CLARK,ANTHONY,24,Male,4,1,6,2,3301,18,1,America,4,3,Student,16,"IKLJ UAYN AKXO JLTB EBBD QKHC LGNS RKCP",2,Geography,30.083,82.64
10025,WALKER,MARY,59,Female,1,4,2,2,6484,19,7,Africa,7,9,"Business Man",9,"IOYZ AFVY ZTPY IDWB MTWC JUGV VEAS VXUN",4,Computer,30.1105,82.64
10208,SMITH,BARBARA,53,Female,5,4,5,1,20746,10,6,America,4,8,Engineer,5,"IPZB SHEU NPXM VVLA ISPX NTTA RSVN YRUG",2,Politics,30.5949,82.64
10004,JONES,WILLIAM,32,Male,2,4,8,4,23693,1,12,America,2,7,Writer,2,"ITRG KJXM YBIK TPEB NYOF EYRA CLHK EXBR",2,Computer,30.0632,82.64
10191,SCOTT,DANIEL,24,Male,5,4,9,3,39208,14,3,America,7,10,Student,10,"IUVQ LWRY QZVN VRRC DGMY IPHV MUPI PMBI",5,English,30.5716,82.64
10019,MARTINEZ,BRIAN,28,Female,4,1,3,3,18951,20,10,Europe,7,2,Writer,13,"JCEI GYJE WLUU BYNM BZFZ IWNZ UGLJ TIGP",3,Politics,30.1182,82.641
10234,ALLEN,WILLIAM,43,Female,4,1,8,4,30144,9,13,Africa,4,8,Writer,5,"JHSD RUMT ITRE OBOT ZPOK VDZS JSUN OWNF",3,Science,30.6268,82.641
10221,WHITE,DONNA,47,Male,4,1,7,1,32503,1,1,Europe,8,6,Student,11,"JIBK CXUY WNIN VTZG KQWG OBBH GNIR AAXI",5,Computer,30.6101,82.641
10194,BAKER,DONALD,34,Female,4,1,8,4,23666,15,12,Europe,10,1,Writer,1,"JIGN MEQY WOLH ZKHR ZEPU BEPF VOIZ XLAM",3,Politics,30.5716,82.641
10094,SCOTT,SHARON,59,Male,3,1,9,2,28451,20,6,America,8,3,Writer,16,"JOSP HWOU VOYU EWCU YPJV CUXR LAPN PIUB",5,Science,30.1636,82.641
10151,TURNER,HELEN,52,Male,5,2,4,1,28792,7,9,Australia,8,10,Student,14,"JOZS NXQN WHBC TYYN CKGH BZDX QSUH LPAG",2,Computer,30.6746,82.6126
10181,LEE,JOHN,25,Male,5,5,7,4,50701,13,5,Asia,1,9,Student,7,"JSFV QOJA UFAR KLNB DRTA NVUN MQTR AYQJ",1,Statistics,30.5713,82.6126
10092,LOPEZ,CAROL,63,Male,1,2,10,3,6776,13,9,Europe,8,3,Teacher,12,"JSVT YGOK VROZ ZJXM EVBN MPVW WWLO DXHU",4,Math,30.1636,82.6126
10077,THOMPSON,LINDA,33,Female,4,5,8,1,21030,17,9,America,1,8,Teacher,7,"JUXM UQTM TEGK LVXF JQHL TEZI QLUT OTMW",5,Geography,30.106,82.6126
10212,BROWN,SUSAN,42,Male,2,3,1,1,44601,8,3,Africa,2,5,Teacher,10,"JXVD LQWU FDRE WRTZ NOJS YLCO QTNW TMUS",3,English,30.5965,82.6126
10113,DAVIS,JOHN,25,Male,4,2,7,4,8075,15,8,Asia,2,10,Engineer,4,"KJAY IKEW VNXR MLJA JRZT IZEP QDQM TEWV",5,Math,30.176,82.6126
10137,KING,MARY,60,Male,3,2,2,2,94806,3,6,Asia,9,8,Teacher,14,"KJBA VNTL EATY THAC OEYO QQRO BCNG JVIB",5,Computer,29.7766,82.6126
10049,EDWARDS,DEBORAH,63,Male,4,1,8,2,32907,14,11,Australia,9,2,Writer,11,"KJLH HHXU FVIZ WELP YIHM SSZS MIUH PFGT",4,Geography,29.9634,82.6126
10034,SCOTT,DOROTHY,48,Male,1,1,5,1,48706,16,15,Europe,10,2,Writer,16,"KUBJ WSZP FAYY BYOF ABMS RSXZ MIIZ BPVN",3,Statistics,30.0801,82.6126
10017,THOMPSON,STEVEN,25,Female,5,4,6,3,11418,4,7,Europe,5,2,Teacher,11,"KZIL TBSV FICP MDYU CZAV TDTS RSBN EKLQ",5,Science,30.1217,82.6126
10104,TURNER,CAROL,41,Male,1,5,3,3,29710,13,1,Europe,2,3,Writer,12,"LABP OIRX KBQK CRIS FYWE JTAC HEGZ UDII",4,Statistics,30.1515,82.6126
10009,MOORE,THOMAS,38,Male,2,1,6,3,38501,12,8,America,3,1,Writer,16,"LEII PFJV STZS VGEZ RZGA ARMQ MDHQ CKKV",4,English,30.1188,82.6126
10081,CLARK,MARIA,64,Female,4,1,7,1,11368,20,14,Africa,3,10,Student,1,"LEXK HHZU CWFR VCZU XFDI FJOG HCMG GDVW",2,Computer,30.1653,82.6126
10203,CAMPBELL,JASON,39,Female,5,4,3,2,17201,13,1,Asia,7,6,Engineer,7,"LHQY ZXMT AKBX HZLG IAAE OPUF UYOI RCLC",4,Geography,30.6512,82.6126
10120,JACKSON,JOSEPH,32,Male,5,1,7,2,61350,18,6,Asia,10,5,"Business Man",16,"LXLK KYDR ROQF NIOE SHRK LNPA YLJL OTYY",1,Math,30.1745,82.6148
10174,THOMPSON,SHARON,61,Male,3,2,6,3,6360,2,6,America,9,9,Writer,16,"LYRT WZIJ WDOM EHRS MQLA ZKJI KEQF PSMW",5,Statistics,30.5703,82.6148
10172,HARRIS,CAROL,25,Female,3,5,10,2,23185,20,2,Europe,9,3,Teacher,6,"MBFO QHZC XNZA KVYW WVRT GQZY JFCH IAMP",5,Computer,30.6537,82.6148
10217,TAYLOR,KAREN,54,Male,5,4,1,1,7040,9,8,Africa,4,1,Teacher,10,"MBXQ CYGY VZOK ZOMK KTPC ORFI YVOW XVSE",4,Geography,30.6179,82.635
10122,HARRIS,CHRISTOPHER,25,Female,1,1,9,4,44024,1,6,Africa,5,2,Teacher,4,"MEXF BKNY ZMHW HHMG MHLI VIKI ENBG BEHP",2,Science,30.1745,82.6558
10119,THOMAS,CHARLES,59,Male,3,4,9,3,28078,20,12,Europe,1,3,Writer,12,"MFVW MZHC DIRK EPGF ZXZX RAZA JGYW ZHGS",1,Geography,30.1745,82.5969
10130,LEWIS,EDWARD,39,Female,1,3,9,4,29710,4,13,Asia,10,5,"Business Man",6,"MMNA RHAG EUJD CABZ QPUN EPLN ABOQ YZFD",3,Computer,30.1745,82.6625
10043,ROBERTS,RUTH,35,Female,5,5,3,3,54729,13,6,America,7,3,Engineer,8,"MOVF VHAP NZWV OTRW PRVH QDTU HNVN QKVO",3,Math,29.9626,82.662
10159,JOHNSON,SARAH,35,Male,1,2,3,2,94070,20,5,Asia,5,10,Writer,10,"MPYQ PSBL CJMH RAIB LZZH TKWM GERL XZCG",1,Politics,30.6501,82.6623
10156,EDWARDS,SHARON,25,Male,2,5,3,4,11414,7,4,Africa,7,10,Student,5,"MTXA JRRL QPVA YXXT HLQK MVLT EMOT YLED",4,English,30.6745,82.6625
10154,PARKER,CAROL,21,Male,5,1,1,1,11413,14,6,Asia,4,1,Writer,4,"MVND IISH PSIK MUQD VCZE PNYV OJIG VCBD",4,Geography,30.6742,82.662
10238,WRIGHT,JOSEPH,57,Male,5,3,3,1,19013,8,3,Europe,10,3,Engineer,16,"NARD SWUU ZSFJ CBSV HVVO ATMI EKNP JLQB",3,Geography,29.9191,82.6625
10072,THOMAS,KEVIN,63,Female,4,1,6,3,2920,6,9,America,2,2,Teacher,14,"NCKR QJPM QPML XUWM PLOT EEXM NLYF ETSQ",5,English,30.5676,82.6622
10026,HALL,PATRICIA,29,Female,5,1,5,2,18360,4,13,America,6,2,Student,15,"NCSU IUOI OOCG PPXH GDFJ BFMQ BVQA TNAO",3,Politics,30.1029,82.6635
10147,CARTER,LISA,42,Male,5,4,8,2,40207,18,2,Asia,1,6,Teacher,15,"NIEQ TSPJ IXRD NAQC WVZH GKAK COJB DXHH",4,Geography,29.7255,82.6631
10101,MITCHELL,HELEN,36,Female,1,4,2,4,26101,6,11,Asia,4,9,Student,15,"NNYQ AMEM PQVI XNCB TSOR YUMZ QIMJ BEJY",1,Science,30.1515,82.6634
10014,WHITE,DONALD,23,Male,2,2,3,1,44012,5,12,America,1,3,Writer,8,"NRFY FIPY FESE TMBP UCQT WOJJ QRUN HNUJ",2,Geography,30.0925,82.6635
10064,COLLINS,DONALD,21,Male,3,2,10,3,21401,10,2,Africa,8,2,Writer,6,"NXLE HDIT DHMO JJZX BQWL HZHC CPMI JTXZ",2,Math,30.5617,82.6631
10233,HALL,MICHAEL,43,Male,2,4,10,4,60025,14,7,Europe,1,9,Engineer,6,"OBBU PXXY MTGW XITV DUTO UHLY KFXW GMGI",3,English,30.6713,82.6631
10183,HALL,MICHAEL,53,Female,2,5,9,2,33040,15,12,Africa,4,1,Engineer,4,"OEGO EFSQ MMAA LXRI VJIU XZFK JZHJ QIXD",3,Math,30.5718,82.6641
10109,JOHNSON,SARAH,64,Female,3,5,5,4,6512,19,12,Europe,3,1,Writer,16,"ONWQ QRCI VLGC VBBF FDDO IBVN TZTE RMFL",2,Computer,30.1859,82.6702
10140,HILL,BARBARA,58,Female,2,4,6,2,14701,2,11,America,3,2,"Business Man",12,"OODY OQPC OOEU HUCA DTQH XRPG YWOJ GSNJ",3,Geography,29.7255,82.6713
10132,WALKER,RONALD,29,Male,3,5,7,2,14450,15,7,Africa,7,9,Teacher,15,"OSJC WHII RRDI EOQT WXDI YWEC XTHK OIZB",2,Statistics,29.7917,81.4271
10045,PHILLIPS,MICHELLE,64,Male,1,3,9,1,19064,17,10,Asia,9,9,"Business Man",13,"OTCF KJWU PFSY IAEI HNXD BUEJ ZYSZ EOCL",2,Science,29.9607,81.4271
10033,HILL,MARGARET,42,Female,4,2,5,2,11357,15,5,Asia,7,8,Engineer,11,"OWDK YDPM PQHF WDPK QIQJ WXNU XFSW WRQV",3,Politics,30.0801,81.4271
10211,JONES,MARIA,58,Male,2,3,2,2,98444,8,4,Europe,4,10,Student,9,"OWRC ACDI YFFY DAET RNYE KSGE DZUM DTBS",3,Math,30.5965,81.4717
10098,GONZALEZ,KIMBERLY,61,Female,1,1,10,3,21133,10,11,Africa,7,2,Engineer,16,"PBSG TEDW KNRS ATDF JRZG YQYO YDRX IFFR",1,Geography,30.1515,81.4717
10202,PHILLIPS,KEVIN,56,Female,4,4,3,1,60073,11,7,Australia,10,2,Teacher,13,"PFIY KJDC ZZRN TVTV BSXX KDTB YNYJ RYHN",2,Statistics,30.6536,81.4717
10062,EVANS,PAUL,24,Female,4,4,6,3,7501,5,2,Asia,4,6,Teacher,1,"PIGV LSOU WEUS WOJJ EWPJ GHZH UQOA ARIU",2,Statistics,30.5627,81.4717
10236,HERNANDEZ,RICHARD,56,Female,4,2,5,4,60030,14,3,Australia,8,2,Student,12,"PKJQ XHJL UJPW LFSV YSMM WOUT KXER WBLU",5,Politics,29.9248,81.4663
